model,budget,n,mean,median,std,min,max,ic95_lo,ic95_hi,collapse_rate,pct_seeds_gt80,ood_pattern_mean,ood_diff_mean,bucket_60_80,steps_to_clear,death_rate,comment
dqn,1500000,5,0.7733,0.852,0.1865,0.44,0.8687,0.6099,0.9368,0.0,0.8,0.7363,0.6379,0.65,2124.5,0.2133,ok
ppo,1500000,5,0.9069,0.9373,0.0658,0.8033,0.9587,0.8493,0.9646,0.0,1.0,0.8947,0.8616,0.85,1923.3,0.0843,ok
sac,1500000,5,0.6141,0.6107,0.3805,0.012,0.9673,0.2806,0.9476,0.2,0.4,0.6,0.5105,0.5444,1716.4,0.3797,"20% colapsos, alta varianza"
worldModel,1500000,5,0.554,0.65,0.2121,0.28,0.7853,0.3681,0.7399,0.0,0.0,0.5291,0.4174,0.4444,1976.9,0.4092,alta varianza
worldModelRecurrente,1500000,5,0.3525,0.196,0.2183,0.19,0.606,0.1612,0.5439,0.0,0.0,0.2944,0.2684,0.2167,1369.5,0.6473,"alta varianza, muere mucho"
dqn,700000,5,0.6677,0.78,0.2984,0.1713,0.926,0.4062,0.9293,0.0,0.4,0.6576,0.4456,0.4944,2050.4,0.3002,alta varianza
ppo,700000,5,0.9031,0.9233,0.0753,0.788,0.9813,0.837,0.9691,0.0,0.8,0.8901,0.8325,0.8333,2333.6,0.0589,ok
sac,700000,5,0.0427,0.0107,0.0672,0.0067,0.162,-0.0162,0.1016,0.8,0.0,0.0373,0.0315,0.0167,545.1,0.9564,"80% colapsos, muere mucho"
worldModel,700000,5,0.3252,0.2687,0.169,0.2073,0.624,0.177,0.4734,0.0,0.0,0.2797,0.0942,0.0722,1351.2,0.6743,muere mucho
worldModelRecurrente,700000,5,0.5444,0.5987,0.24,0.2827,0.804,0.3341,0.7548,0.0,0.2,0.5173,0.2808,0.3611,1890.7,0.4429,alta varianza
dqn,3000000,5,0.8493,0.89,0.1454,0.6007,0.9833,0.7219,0.9768,0.0,0.8,0.8243,0.8204,0.8667,1857.8,0.1423,ok
ppo,3000000,5,0.8744,0.8733,0.0382,0.8233,0.9287,0.8409,0.9079,0.0,1.0,0.8443,0.8536,0.8556,1648.3,0.1251,estable
sac,3000000,5,0.882,0.8927,0.0868,0.7473,0.966,0.8059,0.9581,0.0,0.8,0.8867,0.7286,0.6889,2446.7,0.0783,ok
worldModel,3000000,5,0.5607,0.708,0.3402,0.1413,0.8773,0.2625,0.8588,0.0,0.4,0.5317,0.4599,0.4833,1991.5,0.4201,alta varianza
worldModelRecurrente,3000000,5,0.3966,0.42,0.2172,0.0847,0.6607,0.2062,0.5869,0.2,0.0,0.375,0.2097,0.2,1445.9,0.603,"20% colapsos, alta varianza, muere mucho"
