run_id,timestamp,model,variant,framework,seed,budget,config_hash,git_commit,success_test_id,success_test_ood_pattern,success_test_ood_diff,success_train,bricks_cleared_median,steps_to_clear,death_rate,reward_no_shaping,collapsed,status,config_path,metrics_path,heatmap_path,curve_path
dqn__base__b700000__s4,2026-06-04T18:39:25,dqn,base,torch2.12.0+np2.4.4+py3.13·mps,4,700000,3c243c3dd298,24124d2*,0.1713,0.0907,0.0285,0.1464,10.0,1145.0,0.8287,29.9117,False,done,results/runs/dqn__base__b700000__s4.config.json,results/runs/dqn_base_b700000_seed4_test_id.json,results/heatmaps/dqn_base_b700000_seed4_test_id.png,results/curves/dqn__base__b700000__s4.csv
dqn__base__b700000__s2,2026-06-04T18:39:58,dqn,base,torch2.12.0+np2.4.4+py3.13·mps,2,700000,3c243c3dd298,24124d2*,0.926,0.9187,0.8191,0.9179,32.0,2096.7,0.072,58.565,False,done,results/runs/dqn__base__b700000__s2.config.json,results/runs/dqn_base_b700000_seed2_test_id.json,results/heatmaps/dqn_base_b700000_seed2_test_id.png,results/curves/dqn__base__b700000__s2.csv
dqn__base__b700000__s0,2026-06-04T18:40:01,dqn,base,torch2.12.0+np2.4.4+py3.13·mps,0,700000,3c243c3dd298,24124d2*,0.6247,0.6627,0.2747,0.5232,19.0,1963.3,0.3727,47.4893,False,done,results/runs/dqn__base__b700000__s0.config.json,results/runs/dqn_base_b700000_seed0_test_id.json,results/heatmaps/dqn_base_b700000_seed0_test_id.png,results/curves/dqn__base__b700000__s0.csv
dqn__base__b700000__s1,2026-06-04T18:40:23,dqn,base,torch2.12.0+np2.4.4+py3.13·mps,1,700000,3c243c3dd298,24124d2*,0.78,0.7773,0.4858,0.7321,24.0,2261.7,0.2067,50.8467,False,done,results/runs/dqn__base__b700000__s1.config.json,results/runs/dqn_base_b700000_seed1_test_id.json,results/heatmaps/dqn_base_b700000_seed1_test_id.png,results/curves/dqn__base__b700000__s1.csv
dqn__base__b700000__s3,2026-06-04T18:40:37,dqn,base,torch2.12.0+np2.4.4+py3.13·mps,3,700000,3c243c3dd298,24124d2*,0.8367,0.8387,0.6198,0.7875,32.0,2785.1,0.0207,58.6437,False,done,results/runs/dqn__base__b700000__s3.config.json,results/runs/dqn_base_b700000_seed3_test_id.json,results/heatmaps/dqn_base_b700000_seed3_test_id.png,results/curves/dqn__base__b700000__s3.csv
sac__base__b700000__s1,2026-06-04T18:48:29,sac,base,torch2.12.0+np2.4.4+py3.13·mps,1,700000,23932bae4506,24124d2*,0.0067,0.0,0.0,0.0089,1.0,73.7,0.9933,3.514,True,done,results/runs/sac__base__b700000__s1.config.json,results/runs/sac_base_b700000_seed1_test_id.json,results/heatmaps/sac_base_b700000_seed1_test_id.png,results/curves/sac__base__b700000__s1.csv
sac__base__b700000__s3,2026-06-04T18:48:48,sac,base,torch2.12.0+np2.4.4+py3.13·mps,3,700000,23932bae4506,24124d2*,0.0073,0.0,0.0,0.0,1.0,108.8,0.9927,4.4733,True,done,results/runs/sac__base__b700000__s3.config.json,results/runs/sac_base_b700000_seed3_test_id.json,results/heatmaps/sac_base_b700000_seed3_test_id.png,results/curves/sac__base__b700000__s3.csv
sac__base__b700000__s4,2026-06-04T18:49:15,sac,base,torch2.12.0+np2.4.4+py3.13·mps,4,700000,23932bae4506,24124d2*,0.0107,0.0027,0.0,0.0107,1.0,166.2,0.9893,4.645,True,done,results/runs/sac__base__b700000__s4.config.json,results/runs/sac_base_b700000_seed4_test_id.json,results/heatmaps/sac_base_b700000_seed4_test_id.png,results/curves/sac__base__b700000__s4.csv
sac__base__b700000__s2,2026-06-04T18:50:29,sac,base,torch2.12.0+np2.4.4+py3.13·mps,2,700000,23932bae4506,24124d2*,0.0267,0.0133,0.0,0.0143,3.0,583.9,0.9733,11.2723,True,done,results/runs/sac__base__b700000__s2.config.json,results/runs/sac_base_b700000_seed2_test_id.json,results/heatmaps/sac_base_b700000_seed2_test_id.png,results/curves/sac__base__b700000__s2.csv
worldModel__base__b700000__s1,2026-06-04T18:54:15,worldModel,base,torch2.12.0+np2.4.4+py3.13·mps,1,700000,9083ba735539,24124d2*,0.2727,0.2053,0.0084,0.2179,4.0,1164.9,0.7273,14.3313,False,done,results/runs/worldModel__base__b700000__s1.config.json,results/runs/worldModel_base_b700000_seed1_test_id.json,results/heatmaps/worldModel_base_b700000_seed1_test_id.png,results/curves/worldModel__base__b700000__s1.csv
worldModelRecurrente__base__b700000__s4,2026-06-04T18:55:05,worldModelRecurrente,base,torch2.12.0+np2.4.4+py3.13·mps,4,700000,c99f9ffe2ef7,24124d2*,0.2827,0.2387,0.0536,0.2482,6.0,1266.7,0.7173,23.0973,False,done,results/runs/worldModelRecurrente__base__b700000__s4.config.json,results/runs/worldModelRecurrente_base_b700000_seed4_test_id.json,results/heatmaps/worldModelRecurrente_base_b700000_seed4_test_id.png,results/curves/worldModelRecurrente__base__b700000__s4.csv
worldModel__base__b700000__s3,2026-06-04T18:55:52,worldModel,base,torch2.12.0+np2.4.4+py3.13·mps,3,700000,9083ba735539,24124d2*,0.2073,0.204,0.0285,0.1768,5.0,1158.4,0.7927,18.8363,False,done,results/runs/worldModel__base__b700000__s3.config.json,results/runs/worldModel_base_b700000_seed3_test_id.json,results/heatmaps/worldModel_base_b700000_seed3_test_id.png,results/curves/worldModel__base__b700000__s3.csv
worldModel__base__b700000__s2,2026-06-04T18:55:55,worldModel,base,torch2.12.0+np2.4.4+py3.13·mps,2,700000,9083ba735539,24124d2*,0.2687,0.212,0.062,0.2464,13.0,1160.3,0.7307,34.3167,False,done,results/runs/worldModel__base__b700000__s2.config.json,results/runs/worldModel_base_b700000_seed2_test_id.json,results/heatmaps/worldModel_base_b700000_seed2_test_id.png,results/curves/worldModel__base__b700000__s2.csv
worldModel__base__b700000__s0,2026-06-04T18:56:22,worldModel,base,torch2.12.0+np2.4.4+py3.13·mps,0,700000,9083ba735539,24124d2*,0.2533,0.1813,0.0603,0.2393,7.0,1405.3,0.7467,22.396,False,done,results/runs/worldModel__base__b700000__s0.config.json,results/runs/worldModel_base_b700000_seed0_test_id.json,results/heatmaps/worldModel_base_b700000_seed0_test_id.png,results/curves/worldModel__base__b700000__s0.csv
